,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Revenue (M),622.2,947.1,1206.9,902.4,820.4,1251.7,1632.9,1837.6,2224.4,2955.6,4794.2,7417.1,8921.2,117.5
Gross Margin (%),,,,,,,,,,,,,,
Operating Income (M),218.5,311.2,392.2,272.4,131.6,211.8,226.3,300.3,313.3,220.0,-178.7,188.2,317.4,-440.7
Operating Margin (%),35.1173256187721,32.85819871185725,32.49647858148977,30.186170212765955,16.040955631399317,16.920987457058402,13.858778859697471,16.34196778406617,14.084696996942997,7.443497090269319,-3.7274206332651953,2.537379838481347,3.5578173339909434,-375.06382978723406
Net Income (M),179.3,,,,,111.8,150.3,660.1,142.0,326.9,-197.2,561.1,221.5,-641.4
Net Profit Margin (%),28.817100610736095,,,,,8.931852680354718,9.204482821973176,35.92185459294732,6.383743930947672,11.060359994586548,-4.113303575153311,7.564951261274622,2.482849840828588,-545.8723404255319
D&A (M),56.7,92.6,109.5,75.4,106.9,158.4,195.1,174.7,187.4,239.4,324.5,438.9,445.5,77.3
EBITDA (M),275.2,403.8,501.7,347.8,238.5,370.2,421.4,475.0,500.7,459.4,145.8,627.1,762.9,-363.4
R&D Expense (M),97.0,140.7,178.0,157.2,184.1,261.0,325.7,324.9,370.4,491.9,652.3,1027.6,1148.3,129.7
SBC (M),8.9,12.4,23.1,21.5,37.3,56.4,72.8,94.4,125.0,212.9,280.4,99.5,97.1,56.6
Interest Expense (M),,,,,,19.9,15.6,13.6,0.9,32.1,50.0,48.3,121.1,
Income Tax (M),48.0,77.4,98.9,97.0,53.7,71.3,85.5,123.9,147.9,176.7,100.0,323.2,238.3,-0.5
Effective Tax Rate (%),21.11746590409151,22.234989945417983,19.36936936936937,24.28035043804756,28.79356568364611,38.9404696886947,36.25954198473282,15.803571428571427,51.01759227319766,35.087370929308975,-102.88065843621399,32.3135372925415,49.53232176262731,0.12690355329949238
EPS Diluted ($),0.55,0.81,1.23,0.93,0.41,0.34,0.46,2.04,0.48,0.98,-0.54,1.17,0.59,-2.28
Dividends Per Share ($),,,,,,,,,,,,,,
Cash from Operations (M),242.1,379.6,449.3,276.3,268.6,419.6,412.7,406.1,562.8,441.3,125.1,592.8,783.4,245.6
CapEx (M),172.9,131.2,150.8,172.0,179.0,158.7,215.1,407.7,260.5,332.3,600.6,718.6,1010.6,807.7
Free Cash Flow (M),69.2,248.4,298.5,104.3,89.6,260.9,197.6,-1.6,302.3,109.0,-475.5,-125.8,-227.2,-562.1
FCF to Profit Margin (%),38.59453430005577,,,,,150.0,131.47039254823687,-0.2423875170428723,150.0,33.34353013153869,,-22.420245945464266,,87.63642033052697
Buyback (M),,,260.3,149.7,,,,145.2,18.0,137.6,93.8,,,10.0
Dividends Paid (M),,,,,,,,,,,,,,
Cash (B),0.1964,0.2445,1.0203,0.3136,0.3326,0.4654,0.7407,0.9903,0.7155,1.7922,1.0671,1.1819,0.9269,
Total Cash (B),0.1964,0.2445,1.0203,0.3136,0.3326,0.4654,0.7407,0.9903,0.7155,1.7922,1.0671,1.1819,0.9269,
Total Debt (B),,,,,,,,,,,,,1.0263,
Total Assets (B),,,,,,,,,,,,,8.7707,
Accounts Receivable (B),,,,,,,,,,,,,0.9527,
Stockholders Equity (B),,,,,,,,,,,3.662,4.8079,3.3034,
Shares Outstanding (M),328.155087,335.690596,334.571212,325.610277,323.713437,326.136949,331.243961,335.162062,335.428137,353.382841,362.386669,377.020285,373.059228,281.005226
ROE (%),,,,,,,,,,,-5.385035499726925,11.670375839763722,6.705212811043168,
ROA (%),,,,,,,,,,,,,2.525454068660426,
ROIC (%),,,,,,,,,,,-13.971549447975429,3.513125284485298,4.707429491166713,
Revenue Tag,Revenues,Revenues,Revenues,Revenues,Revenues,Revenues,Revenues,Revenues,Revenues,Revenues,Revenues,Revenues,Revenues,Revenues
Net Income Tag,NetIncomeLoss,,,,,ProfitLoss,ProfitLoss,ProfitLoss,ProfitLoss,ProfitLoss,NetIncomeLoss,NetIncomeLoss,NetIncomeLoss,NetIncomeLoss
CFO Tag,NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInOperatingActivities
CapEx Tag,PaymentsToAcquirePropertyPlantAndEquipment,PaymentsToAcquirePropertyPlantAndEquipment,PaymentsToAcquirePropertyPlantAndEquipment,PaymentsToAcquirePropertyPlantAndEquipment,PaymentsToAcquirePropertyPlantAndEquipment,PaymentsToAcquirePropertyPlantAndEquipment,PaymentsToAcquirePropertyPlantAndEquipment,PaymentsToAcquirePropertyPlantAndEquipment,PaymentsToAcquirePropertyPlantAndEquipment,PaymentsToAcquirePropertyPlantAndEquipment,PaymentsToAcquirePropertyPlantAndEquipment,PaymentsToAcquirePropertyPlantAndEquipment,PaymentsToAcquirePropertyPlantAndEquipment,PaymentsToAcquirePropertyPlantAndEquipment
Gross Profit Tag,,,,,,,,,,,,,,
Operating Income Tag,OperatingIncomeLoss,OperatingIncomeLoss,OperatingIncomeLoss,OperatingIncomeLoss,OperatingIncomeLoss,OperatingIncomeLoss,OperatingIncomeLoss,OperatingIncomeLoss,OperatingIncomeLoss,OperatingIncomeLoss,OperatingIncomeLoss,OperatingIncomeLoss,OperatingIncomeLoss,OperatingIncomeLoss
D&A Tag,DepreciationDepletionAndAmortization,DepreciationDepletionAndAmortization,DepreciationDepletionAndAmortization,DepreciationDepletionAndAmortization,DepreciationAndAmortization,DepreciationAndAmortization,DepreciationAndAmortization,DepreciationAndAmortization,DepreciationAndAmortization,DepreciationAndAmortization,DepreciationAndAmortization,DepreciationAndAmortization,DepreciationAndAmortization,DepreciationAndAmortization
R&D Tag,ResearchAndDevelopmentExpense,ResearchAndDevelopmentExpense,ResearchAndDevelopmentExpense,ResearchAndDevelopmentExpense,ResearchAndDevelopmentExpense,ResearchAndDevelopmentExpense,ResearchAndDevelopmentExpense,ResearchAndDevelopmentExpense,ResearchAndDevelopmentExpense,ResearchAndDevelopmentExpense,ResearchAndDevelopmentExpense,ResearchAndDevelopmentExpense,ResearchAndDevelopmentExpense,ResearchAndDevelopmentExpense
SBC Tag,ShareBasedCompensation,ShareBasedCompensation,ShareBasedCompensation,ShareBasedCompensation,ShareBasedCompensation,ShareBasedCompensation,ShareBasedCompensation,ShareBasedCompensation,ShareBasedCompensation,ShareBasedCompensation,ShareBasedCompensation,ShareBasedCompensation,ShareBasedCompensation,ShareBasedCompensation
Interest Expense Tag,,,,,,InterestExpense,InterestExpense,InterestExpense,InterestExpense,InterestExpense,InterestExpense,InterestExpense,InterestExpense,
Income Tax Tag,IncomeTaxExpenseBenefit,IncomeTaxExpenseBenefit,IncomeTaxExpenseBenefit,IncomeTaxExpenseBenefit,IncomeTaxExpenseBenefit,IncomeTaxExpenseBenefit,IncomeTaxExpenseBenefit,IncomeTaxExpenseBenefit,IncomeTaxExpenseBenefit,IncomeTaxExpenseBenefit,IncomeTaxExpenseBenefit,IncomeTaxExpenseBenefit,IncomeTaxExpenseBenefit,IncomeTaxExpenseBenefit
EPS Tag,EarningsPerShareDiluted,EarningsPerShareDiluted,EarningsPerShareDiluted,EarningsPerShareDiluted,EarningsPerShareDiluted,EarningsPerShareDiluted,EarningsPerShareDiluted,EarningsPerShareDiluted,EarningsPerShareDiluted,EarningsPerShareDiluted,EarningsPerShareDiluted,EarningsPerShareDiluted,EarningsPerShareDiluted,EarningsPerShareDiluted
DPS Tag,,,,,,,,,,,,,,
Buyback Tag,,,PaymentsForRepurchaseOfCommonStock,PaymentsForRepurchaseOfCommonStock,,,,PaymentsForRepurchaseOfCommonStock,PaymentsForRepurchaseOfCommonStock,PaymentsForRepurchaseOfCommonStock,PaymentsForRepurchaseOfCommonStock,,,PaymentsForRepurchaseOfEquity
Dividends Paid Tag,,,,,,,,,,,,,,
Cash Tag,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsAtCarryingValue,
MS Current Tag,,,,,,,,,,,,,,
MS Noncurrent Tag,,,,,,,,,,,,,,
LT Debt Tag,,,,,,,,,,,,,,
ST Debt Tag,,,,,,,,,,,,,LongTermDebtCurrent,
Assets Tag,,,,,,,,,,,,,Assets,
AR Tag,,,,,,,,,,,,,AccountsReceivableNetCurrent,
Equity Tag,,,,,,,,,,,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,StockholdersEquity,
Shares Tag,WeightedAverageNumberOfDilutedSharesOutstanding,WeightedAverageNumberOfDilutedSharesOutstanding,WeightedAverageNumberOfDilutedSharesOutstanding,WeightedAverageNumberOfDilutedSharesOutstanding,WeightedAverageNumberOfDilutedSharesOutstanding,WeightedAverageNumberOfDilutedSharesOutstanding,WeightedAverageNumberOfDilutedSharesOutstanding,WeightedAverageNumberOfDilutedSharesOutstanding,WeightedAverageNumberOfDilutedSharesOutstanding,WeightedAverageNumberOfDilutedSharesOutstanding,WeightedAverageNumberOfDilutedSharesOutstanding,WeightedAverageNumberOfDilutedSharesOutstanding,WeightedAverageNumberOfDilutedSharesOutstanding,WeightedAverageNumberOfDilutedSharesOutstanding
Start,2011-01-01,2012-01-01,2013-01-01,2014-01-01,2015-01-01,2016-01-01,2017-01-01,2018-01-01,2019-01-01,2020-01-01,2021-01-01,2022-01-01,2023-01-01,2024-01-01
End,2011-12-31,2012-12-31,2013-12-31,2014-12-31,2015-12-31,2016-12-31,2017-12-31,2018-12-31,2019-12-31,2020-12-31,2021-12-31,2022-12-31,2023-12-31,2024-12-31
