,2023Q3,2023Q4,2024Q1,2024Q2,2024Q3,2024Q4,2025Q1,2025Q2,2025Q3,2025Q4
Data Source,10-Q,10-K Derived,10-Q,10-Q,10-Q,10-K Derived,10-Q,10-Q,10-Q,10-K Derived
Revenue (M),143083.0,169961.0,143313.0,147977.0,158877.0,187792.0,155667.0,167702.0,180169.0,213386.0
Gross Margin (%),,,,,,,,,,
Operating Income (M),11188.0,13209.0,15307.0,14672.0,17411.0,21203.0,18405.0,19171.0,17422.0,24977.0
Operating Margin (%),7.819237785061817,7.771782938438819,10.680817511321374,9.915054366556966,10.95879202150091,11.29068330919315,11.823315153500742,11.431586981669867,9.669810011711228,11.705079058607406
Net Income (M),9879.0,10624.0,10431.0,13485.0,15328.0,20004.0,17127.0,18164.0,21187.0,21192.0
Net Profit Margin (%),6.904384168629398,6.250845782267697,7.278474388227167,9.11290268082202,9.647714898946983,10.652210956803271,11.00233190078822,10.831117100571252,11.759514677885763,9.931298210754221
D&A (M),12131.0,13820.0,11684.0,12038.0,13442.0,15631.0,14262.0,15227.0,16796.0,19471.0
EBITDA (M),23319.0,27029.0,26991.0,26710.0,30853.0,36834.0,32667.0,34398.0,34218.0,44448.0
R&D Expense (M),,,,,,,,,,
SBC (M),5829.0,6319.0,4961.0,6722.0,5333.0,4995.0,3689.0,6534.0,4847.0,4397.0
Interest Expense (M),806.0,713.0,644.0,,,,,,,
Income Tax (M),2306.0,3062.0,2467.0,1767.0,2706.0,2325.0,4553.0,2678.0,6910.0,4946.0
Effective Tax Rate (%),18.918697185987366,22.373228116323247,19.00177154740815,11.590685470646113,15.002494871652713,10.403150029084076,21.001891231145347,12.83981397132857,24.52964146254881,18.59049050930276
EPS Diluted ($),0.94,1.0,0.98,1.26,1.43,1.8600000000000003,1.59,1.68,1.95,1.9500000000000002
Dividends Per Share ($),,,,,,,,,,
Cash from Operations (M),21217.0,42465.0,18989.0,25281.0,25971.0,45636.0,17015.0,32515.0,35525.0,54459.0
CapEx (M),12479.0,14588.0,14925.0,17620.0,22620.0,27834.0,25019.0,32183.0,35095.0,39522.0
Free Cash Flow (M),8738.0,27877.0,4064.0,7661.0,3351.0,17802.0,-8004.0,332.0,430.0,14937.0
FCF to Profit Margin (%),88.4502480008098,262.3964608433735,38.96078995302464,56.8112717834631,21.86195198329854,88.99220155968807,-46.73322823611841,1.8277912354107024,2.029546419974513,70.4841449603624
Buyback (M),0.0,0.0,0.0,,,,,,,
Dividends Paid (M),,,,,,,,,,
Cash (B),49.605,73.387,72.852,71.178,75.091,78.779,66.207,57.741,66.922,86.81
Total Cash (B),64.169,86.78,85.074,89.092,88.051,101.202,94.565,93.18,94.197,123.029
Total Debt (B),67.638,67.329,66.902,62.759,60.588,58.151,58.826,56.255,55.317,69.291
Total Assets (B),486.883,527.854,530.969,554.818,584.626,624.894,643.256,682.17,727.921,818.042
Accounts Receivable (B),43.42,52.253,47.768,50.106,51.638,55.451,54.216,57.415,61.175,67.729
Stockholders Equity (B),182.973,201.875,216.661,236.447,259.151,285.97,305.867,333.775,369.631,411.065
Shares Outstanding (M),10558.0,10614.0,10670.0,10708.0,10735.0,10771.0,10793.0,10806.0,10845.0,10864.0
Revenue Tag,RevenueFromContractWithCustomerExcludingAssessedTax,,RevenueFromContractWithCustomerExcludingAssessedTax,RevenueFromContractWithCustomerExcludingAssessedTax,RevenueFromContractWithCustomerExcludingAssessedTax,,RevenueFromContractWithCustomerExcludingAssessedTax,RevenueFromContractWithCustomerExcludingAssessedTax,RevenueFromContractWithCustomerExcludingAssessedTax,
Net Income Tag,NetIncomeLoss,,NetIncomeLoss,NetIncomeLoss,NetIncomeLoss,,NetIncomeLoss,NetIncomeLoss,NetIncomeLoss,
CFO Tag,NetCashProvidedByUsedInOperatingActivities,,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInOperatingActivities,,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInOperatingActivities,
CapEx Tag,PaymentsToAcquireProductiveAssets,,PaymentsToAcquireProductiveAssets,PaymentsToAcquireProductiveAssets,PaymentsToAcquireProductiveAssets,,PaymentsToAcquireProductiveAssets,PaymentsToAcquireProductiveAssets,PaymentsToAcquireProductiveAssets,
Gross Profit Tag,,,,,,,,,,
Operating Income Tag,OperatingIncomeLoss,,OperatingIncomeLoss,OperatingIncomeLoss,OperatingIncomeLoss,,OperatingIncomeLoss,OperatingIncomeLoss,OperatingIncomeLoss,
D&A Tag,DepreciationDepletionAndAmortization,,DepreciationDepletionAndAmortization,DepreciationDepletionAndAmortization,DepreciationDepletionAndAmortization,,DepreciationDepletionAndAmortization,DepreciationDepletionAndAmortization,DepreciationDepletionAndAmortization,
R&D Tag,,,,,,,,,,
SBC Tag,ShareBasedCompensation,,ShareBasedCompensation,ShareBasedCompensation,ShareBasedCompensation,,ShareBasedCompensation,ShareBasedCompensation,ShareBasedCompensation,
Interest Expense Tag,InterestExpense,,InterestExpense,,,,,,,
Income Tax Tag,IncomeTaxExpenseBenefit,,IncomeTaxExpenseBenefit,IncomeTaxExpenseBenefit,IncomeTaxExpenseBenefit,,IncomeTaxExpenseBenefit,IncomeTaxExpenseBenefit,IncomeTaxExpenseBenefit,
EPS Tag,EarningsPerShareDiluted,,EarningsPerShareDiluted,EarningsPerShareDiluted,EarningsPerShareDiluted,,EarningsPerShareDiluted,EarningsPerShareDiluted,EarningsPerShareDiluted,
