,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Revenue (M),197.545,325.893,644.677,846.589,1076.794,1333.554,2742.837,3339.817,8147.376,1958.0,1945.0,2236.0
Gross Margin (%),,,,,,,43.70431053686384,44.11693814361685,21.51857235998437,81.25638406537283,78.3547557840617,76.43112701252235
Operating Income (M),-16.949,-44.695,-149.531,-192.854,-161.874,-128.975,-247.485,-41.388,-327.673,-93.0,-270.0,-197.0
Operating Margin (%),-8.579817256827559,-13.714624125096275,-23.194716113650713,-22.78012116859539,-15.032958950365622,-9.671524362717971,-9.022956887339642,-1.239229574554534,-4.021822486159961,-4.749744637385087,-13.881748071979436,-8.810375670840786
Net Income (M),-12.453,-43.61,-148.874,-220.438,-94.42,-119.858,-305.361,-162.115,-527.777,-101.0,-158.0,-112.0
Net Profit Margin (%),-6.303880128578299,-13.381692764189474,-23.092804613783336,-26.03837281136419,-8.768622410600356,-8.987862508754802,-11.133034883224923,-4.854008468128643,-6.477877049003262,-5.158324821246169,-8.123393316195372,-5.008944543828265
D&A (M),23.254,35.624,75.386,100.59,110.155,99.391,87.467,110.031,129.78,157.0,187.0,240.0
EBITDA (M),6.305,-9.071,-74.145,-92.264,-51.719,-29.584,-160.018,68.643,-197.893,64.0,-83.0,43.0
R&D Expense (M),48.498,84.669,198.565,273.066,319.985,410.818,477.347,518.072,474.396,498.0,560.0,585.0
SBC (M),23.436,34.085,105.214,106.918,113.571,149.084,198.902,197.55,311.686,451.0,451.0,448.0
Interest Expense (M),,,5.489,7.408,27.517,41.255,101.792,155.227,191.91,35.0,36.0,36.0
Income Tax (M),-4.111,,-4.645,0.13,-89.586,-31.102,-4.258,-7.523,1.263,3.0,4.0,5.0
Effective Tax Rate (%),24.818884327457134,,3.025684117275386,-0.05900829747444487,48.686455876438814,20.602808691043986,1.375238599698339,4.434737499852627,-0.23987966131954705,-3.5294117647058822,-2.5974025974025974,-4.672897196261682
EPS Diluted ($),-0.12,-0.36,-0.88,-1.22,-0.51,-0.61,-1.48,-0.72,-2.11,-0.42,-0.68,-0.48
Dividends Per Share ($),,,,,,,,,,,,
Cash from Operations (M),31.298,45.519,22.659,8.645,258.191,3.85,-612.174,424.197,-3176.694,4504.0,354.0,428.0
CapEx (M),22.047,32.595,54.981,62.06,66.728,66.054,67.044,84.94,73.305,115.0,135.0,143.0
Free Cash Flow (M),9.251,12.924,-32.322,-53.415,191.463,-62.204,-679.218,339.257,-3249.999,4389.0,219.0,285.0
FCF to Profit Margin (%),-74.28732032441981,-29.635404723687227,21.71097706785604,24.231303132853682,-150.0,51.8980793939495,150.0,,150.0,-150.0,-138.60759493670886,-150.0
Buyback (M),,,,,,,0.0,0.0,302.297,947.0,424.0,301.0
Dividends Paid (M),,,,,,,,,,,,
Cash (B),,,0.20176,0.229138,0.125765,0.651058,1.141263,1.70313,2.611499,1.466,1.492,1.082
Total Cash (B),,,0.20176,0.229138,0.125765,0.651058,1.141263,1.70313,2.611499,1.466,1.492,1.082
Total Debt (B),,,0.23,0.367404,0.385416,0.69902,1.543402,1.613523,,,,
Total Assets (B),,,3.1357,3.149677,3.230517,4.291116,6.131973,7.48656,10.695454,6.563,6.652,5.829
Accounts Receivable (B),,,0.029789,0.040527,0.054396,0.066083,0.067005,0.06994,0.154937,0.072,0.096,0.104
Stockholders Equity (B),,,0.567796,2.679053,0.588779,2.533587,2.660823,3.267179,3.435421,4.742,5.341,4.526
Shares Outstanding (M),,,,,,,206.38,223.848,249.937,242.163,233.575,234.077
ROE (%),,,-26.219628176316846,-8.228206011601861,-16.03657739151702,-4.730763143322096,-11.476186127374877,-4.961925869381506,-15.362804151223386,-2.1299029945170815,-2.9582475191911626,-2.4745912505523644
ROA (%),,,-4.7477118346780625,-6.9987493955729425,-2.922751992947259,-2.793166160038554,-4.979816447332694,-2.165413754781903,-4.934591836868262,-1.5389303672101173,-2.375225496091401,-1.9214273460284783
ROIC (%),,,-24.328507721445845,-6.849341514468592,-9.790234481875162,-3.966708650144778,-7.968805710013267,-1.2447412944084664,-39.86530531805627,-2.939021762551174,-7.197011873551235,-5.987386976673504
Revenue Tag,Revenues,Revenues,Revenues,RevenueFromContractWithCustomerExcludingAssessedTax,RevenueFromContractWithCustomerExcludingAssessedTax,RevenueFromContractWithCustomerExcludingAssessedTax,RevenueFromContractWithCustomerExcludingAssessedTax,RevenueFromContractWithCustomerExcludingAssessedTax,RevenueFromContractWithCustomerExcludingAssessedTax,RevenueFromContractWithCustomerExcludingAssessedTax,RevenueFromContractWithCustomerExcludingAssessedTax,RevenueFromContractWithCustomerExcludingAssessedTax
Net Income Tag,NetIncomeLoss,NetIncomeLoss,NetIncomeLoss,NetIncomeLoss,NetIncomeLoss,NetIncomeLoss,NetIncomeLoss,NetIncomeLoss,NetIncomeLoss,NetIncomeLoss,NetIncomeLoss,NetIncomeLoss
CFO Tag,NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInOperatingActivities
CapEx Tag,PaymentsToAcquirePropertyPlantAndEquipment,PaymentsToAcquirePropertyPlantAndEquipment,PaymentsToAcquirePropertyPlantAndEquipment,PaymentsToAcquirePropertyPlantAndEquipment,PaymentsToAcquirePropertyPlantAndEquipment,PaymentsToAcquirePropertyPlantAndEquipment,PaymentsToAcquirePropertyPlantAndEquipment,PaymentsToAcquirePropertyPlantAndEquipment,PaymentsToAcquirePropertyPlantAndEquipment,PaymentsToAcquirePropertyPlantAndEquipment,PaymentsToAcquirePropertyPlantAndEquipment,PaymentsToAcquirePropertyPlantAndEquipment
Gross Profit Tag,,,,,,,GrossProfit,GrossProfit,GrossProfit,GrossProfit,GrossProfit,GrossProfit
Operating Income Tag,OperatingIncomeLoss,OperatingIncomeLoss,OperatingIncomeLoss,OperatingIncomeLoss,OperatingIncomeLoss,OperatingIncomeLoss,OperatingIncomeLoss,OperatingIncomeLoss,OperatingIncomeLoss,OperatingIncomeLoss,OperatingIncomeLoss,OperatingIncomeLoss
D&A Tag,DepreciationDepletionAndAmortization,DepreciationDepletionAndAmortization,DepreciationDepletionAndAmortization,DepreciationDepletionAndAmortization,DepreciationDepletionAndAmortization,DepreciationDepletionAndAmortization,DepreciationDepletionAndAmortization,DepreciationDepletionAndAmortization,DepreciationDepletionAndAmortization,DepreciationDepletionAndAmortization,DepreciationDepletionAndAmortization,DepreciationDepletionAndAmortization
R&D Tag,ResearchAndDevelopmentExpense,ResearchAndDevelopmentExpense,ResearchAndDevelopmentExpense,ResearchAndDevelopmentExpense,ResearchAndDevelopmentExpense,ResearchAndDevelopmentExpense,ResearchAndDevelopmentExpense,ResearchAndDevelopmentExpense,ResearchAndDevelopmentExpense,ResearchAndDevelopmentExpense,ResearchAndDevelopmentExpense,ResearchAndDevelopmentExpense
SBC Tag,ShareBasedCompensation,ShareBasedCompensation,ShareBasedCompensation,ShareBasedCompensation,ShareBasedCompensation,ShareBasedCompensation,ShareBasedCompensation,ShareBasedCompensation,ShareBasedCompensation,ShareBasedCompensation,ShareBasedCompensation,ShareBasedCompensation
Interest Expense Tag,,,InterestExpense,InterestExpenseDebt,InterestExpenseDebt,InterestExpenseDebt,InterestExpenseDebt,InterestExpenseDebt,InterestExpenseDebt,InterestExpenseDebt,InterestExpenseDebt,InterestExpenseDebt
Income Tax Tag,IncomeTaxExpenseBenefit,,IncomeTaxExpenseBenefit,IncomeTaxExpenseBenefit,IncomeTaxExpenseBenefit,IncomeTaxExpenseBenefit,IncomeTaxExpenseBenefit,IncomeTaxExpenseBenefit,IncomeTaxExpenseBenefit,IncomeTaxExpenseBenefit,IncomeTaxExpenseBenefit,IncomeTaxExpenseBenefit
EPS Tag,EarningsPerShareBasicAndDiluted,EarningsPerShareBasicAndDiluted,EarningsPerShareBasicAndDiluted,EarningsPerShareBasicAndDiluted,EarningsPerShareBasicAndDiluted,EarningsPerShareBasicAndDiluted,EarningsPerShareDiluted,EarningsPerShareDiluted,EarningsPerShareDiluted,EarningsPerShareDiluted,EarningsPerShareDiluted,EarningsPerShareDiluted
DPS Tag,,,,,,,,,,,,
Buyback Tag,,,,,,,PaymentsForRepurchaseOfCommonStock,PaymentsForRepurchaseOfCommonStock,PaymentsForRepurchaseOfCommonStock,PaymentsForRepurchaseOfCommonStock,PaymentsForRepurchaseOfCommonStock,PaymentsForRepurchaseOfCommonStock
Dividends Paid Tag,,,,,,,,,,,,
Cash Tag,,,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsAtCarryingValue
MS Current Tag,,,,,,,,,,,,
MS Noncurrent Tag,,,,,,,,,,,,
