,2023Q2,2023Q3,2023Q4,2024Q1,2024Q2,2024Q3,2024Q4,2025Q1,2025Q2,2025Q3
Data Source,10-Q,10-Q,10-Q,10-Q,10-Q,10-Q,10-Q,10-Q,10-Q,10-Q
Revenue (M),13507.0,18120.0,,26044.0,30040.0,35082.0,,44062.0,46743.0,57006.0
Gross Margin (%),70.0525653364922,73.9514348785872,,78.35201965903855,75.14647137150466,74.55675275069837,,60.52380736235305,72.4236784117408,73.41157071185489
Operating Income (M),6800.0,10417.0,,16909.0,18642.0,21869.0,,21638.0,28440.0,36010.0
Operating Margin (%),50.344265936181245,57.48896247240618,,64.92474274305022,62.0572569906791,62.33681090017673,,49.10807498524806,60.84333483088377,63.16878925025436
Net Income (M),6188.0,9243.0,,14881.0,16599.0,19309.0,,18775.0,26422.0,31910.0
Net Profit Margin (%),45.813282001924925,51.00993377483444,,57.13792044232837,55.25632490013316,55.0396214582977,,42.61041260042667,56.52611086151937,55.976563870469775
D&A (M),,,,410.0,,,,611.0,,
EBITDA (M),6800.0,10417.0,,17319.0,18642.0,21869.0,,22249.0,28440.0,36010.0
R&D Expense (M),2040.0,2294.0,,2720.0,3090.0,3390.0,,3989.0,4291.0,4705.0
SBC (M),842.0,979.0,,1011.0,1154.0,1252.0,,1474.0,1624.0,1655.0
Interest Expense (M),65.0,63.0,,64.0,,,,,,
Income Tax (M),793.0,1279.0,,2398.0,2615.0,3007.0,,3135.0,4784.0,6026.0
Effective Tax Rate (%),11.359404096834265,12.155483748336819,,13.878117946640431,13.60986780472572,13.474637031726116,,14.30853491556367,15.33038518233673,15.884647827920709
EPS Diluted ($),0.25,0.37,,0.6,0.67,0.78,,0.76,1.08,1.3
Dividends Per Share ($),0.004,0.004,,0.004,0.01,0.01,,0.01,0.01,0.01
Cash from Operations (M),,,,15345.0,,,,27414.0,,
CapEx (M),,,,369.0,,,,1227.0,,
Free Cash Flow (M),,,,14976.0,,,,26187.0,,
FCF to Profit Margin (%),,,,100.63839795712654,,,,139.4780292942743,,
Buyback (M),,,,7740.0,,,,14095.0,,
Dividends Paid (M),99.0,99.0,,98.0,246.0,245.0,,244.0,244.0,
Cash (B),5.783,5.519,7.28,7.587,8.563,9.107,8.589,15.234,11.639,11.486
Total Cash (B),16.023,18.281,25.984,31.438,34.8,38.487,43.21,53.691,56.791,60.608
Total Debt (B),10.954,10.955,9.709,10.96,8.461,8.462,8.463,8.464,8.466,9.466
Total Assets (B),49.555,54.148,65.728,77.072,85.227,96.013,111.601,125.254,140.74,161.148
Accounts Receivable (B),7.066,8.309,9.999,12.365,14.132,17.693,23.065,22.132,27.808,33.391
Stockholders Equity (B),27.501,33.265,42.978,49.142,58.157,65.899,79.327,83.843,100.131,118.897
Shares Outstanding (M),24994.0,24940.0,,24890.0,24848.0,24774.0,,24611.0,24532.0,24483.0
Revenue Tag,Revenues,Revenues,,Revenues,Revenues,Revenues,,Revenues,Revenues,Revenues
Net Income Tag,NetIncomeLoss,NetIncomeLoss,,NetIncomeLoss,NetIncomeLoss,NetIncomeLoss,,NetIncomeLoss,NetIncomeLoss,NetIncomeLoss
CFO Tag,,,,NetCashProvidedByUsedInOperatingActivities,,,,NetCashProvidedByUsedInOperatingActivities,,
CapEx Tag,,,,PaymentsToAcquireProductiveAssets,,,,PaymentsToAcquireProductiveAssets,,
Gross Profit Tag,GrossProfit,GrossProfit,,GrossProfit,GrossProfit,GrossProfit,,GrossProfit,GrossProfit,GrossProfit
Operating Income Tag,OperatingIncomeLoss,OperatingIncomeLoss,,OperatingIncomeLoss,OperatingIncomeLoss,OperatingIncomeLoss,,OperatingIncomeLoss,OperatingIncomeLoss,OperatingIncomeLoss
D&A Tag,,,,DepreciationDepletionAndAmortization,,,,DepreciationDepletionAndAmortization,,
R&D Tag,ResearchAndDevelopmentExpense,ResearchAndDevelopmentExpense,,ResearchAndDevelopmentExpense,ResearchAndDevelopmentExpense,ResearchAndDevelopmentExpense,,ResearchAndDevelopmentExpense,ResearchAndDevelopmentExpense,ResearchAndDevelopmentExpense
