,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035
Revenue (M),309896.4,335462.853,357267.938445,374238.16552113753,385465.3104867717,397029.2698013748,408443.86130816437,419676.0674941389,430692.5642658601,441459.8783725066
Free Cash Flow (M),93461.58716470237,101172.16810579032,107748.35903266669,112866.40608671836,116252.39826931992,119739.97021739952,123182.49436114976,126570.0129560814,129892.47579617854,133139.78769108298
Growth Rate (%),10.0,8.25,6.5,4.75,3.0,3.0,2.875,2.75,2.6250000000000004,2.5
Discount Factor,1.07,1.14,1.23,1.31,1.4,1.5,1.61,1.72,1.84,1.97
PV of Future Cash Flow (M),87347.27772402091,88367.68984696508,87954.75671683907,86105.24080456908,82886.35329785621,79787.79803438495,76711.8665681061,73664.89990535422,70652.90049333623,67681.51682772863
Revenue Tag,RevenueFromContractWithCustomerExcludingAssessedTax,RevenueFromContractWithCustomerExcludingAssessedTax,RevenueFromContractWithCustomerExcludingAssessedTax,RevenueFromContractWithCustomerExcludingAssessedTax,RevenueFromContractWithCustomerExcludingAssessedTax,RevenueFromContractWithCustomerExcludingAssessedTax,RevenueFromContractWithCustomerExcludingAssessedTax,RevenueFromContractWithCustomerExcludingAssessedTax,RevenueFromContractWithCustomerExcludingAssessedTax,RevenueFromContractWithCustomerExcludingAssessedTax
CFO Tag,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInOperatingActivities
CapEx Tag,PaymentsToAcquirePropertyPlantAndEquipment,PaymentsToAcquirePropertyPlantAndEquipment,PaymentsToAcquirePropertyPlantAndEquipment,PaymentsToAcquirePropertyPlantAndEquipment,PaymentsToAcquirePropertyPlantAndEquipment,PaymentsToAcquirePropertyPlantAndEquipment,PaymentsToAcquirePropertyPlantAndEquipment,PaymentsToAcquirePropertyPlantAndEquipment,PaymentsToAcquirePropertyPlantAndEquipment,PaymentsToAcquirePropertyPlantAndEquipment
Base Start,2024-07-01,2024-07-01,2024-07-01,2024-07-01,2024-07-01,2024-07-01,2024-07-01,2024-07-01,2024-07-01,2024-07-01
Base End,2025-06-30,2025-06-30,2025-06-30,2025-06-30,2025-06-30,2025-06-30,2025-06-30,2025-06-30,2025-06-30,2025-06-30
